url_length,dot_count,at_symbol_present,hyphen_count,digit_to_letter_ratio,iframe_count,hidden_forms,password_fields,external_link_ratio,empty_anchors,domain_age_days,ssl_days_to_expire,label
87,3,0,2,0.573,3,0,1,0.813,14,5,3,1
51,3,0,0,0.052,1,0,1,0.085,3,1044,135,0
68,4,0,2,0.332,4,1,1,0.731,6,34,29,1
108,5,0,5,0.461,1,0,1,0.82,19,4,3,1
53,3,0,2,0.016,1,0,1,0.055,2,331,309,0
40,3,0,1,0.079,1,0,1,0.171,2,1059,325,0
55,2,0,1,0.098,1,0,0,0.151,1,3372,240,0
32,2,0,2,0.035,1,0,0,0.151,3,1779,97,0
38,1,0,2,0.026,1,0,1,0.208,3,3044,329,0
95,5,0,4,0.55,3,0,2,0.977,6,36,3,1
36,3,0,0,0.043,1,0,0,0.26,3,688,173,0
143,7,0,2,0.238,5,2,0,0.694,9,2,29,1
141,5,0,6,0.22,4,3,1,0.711,16,11,4,1
47,1,0,0,0.082,0,0,1,0.202,2,3585,274,0
134,3,0,4,0.557,5,2,1,0.836,19,21,20,1
27,3,0,2,0.01,0,0,1,0.142,3,2593,177,0
120,6,0,3,0.415,1,0,2,0.816,19,10,20,1
53,3,0,2,0.393,1,1,1,0.89,19,32,14,1
77,4,0,6,0.227,4,2,1,0.899,14,33,20,1
72,8,0,4,0.488,5,0,1,0.718,13,31,23,1
42,3,0,0,0.055,1,0,1,0.211,0,673,313,0
46,1,0,1,0.09,0,0,1,0.076,2,2573,224,0
57,1,0,1,0.091,0,0,0,0.114,2,586,349,0
53,5,1,4,0.357,3,2,1,0.723,18,0,7,1
51,2,0,2,0.011,1,0,1,0.237,3,3572,212,0
31,1,0,2,0.009,1,0,0,0.211,3,1647,146,0
57,3,0,6,0.402,4,2,1,0.712,14,31,12,1
104,7,0,2,0.443,3,2,1,0.951,16,7,11,1
29,2,0,2,0.085,1,0,0,0.163,0,1582,288,0
33,2,0,0,0.065,1,0,1,0.246,3,1817,288,0
129,8,0,6,0.175,4,2,1,0.978,7,5,27,1
142,5,0,5,0.38,2,3,2,0.626,7,8,24,1
54,6,1,6,0.4,4,3,1,0.683,14,37,5,1
111,6,0,5,0.153,2,1,2,0.921,16,18,25,1
114,7,1,6,0.176,2,0,2,0.827,17,0,5,1
41,3,0,2,0.05,1,0,1,0.012,2,2912,324,0
84,4,0,5,0.307,4,1,0,0.686,16,23,12,1
69,5,1,6,0.427,4,3,1,0.87,13,36,27,1
63,8,1,2,0.322,2,0,0,0.699,11,9,17,1
129,4,0,2,0.123,2,2,0,0.897,20,31,24,1
98,7,1,6,0.112,3,1,0,0.831,18,44,27,1
80,5,1,6,0.565,2,0,1,0.984,12,44,23,1
46,2,0,0,0.03,1,0,1,0.293,3,527,302,0
27,2,0,1,0.074,0,0,1,0.262,2,1738,249,0
71,5,1,2,0.233,5,2,1,0.867,15,45,2,1
43,3,0,0,0.054,1,0,0,0.054,3,1002,95,0
20,3,0,0,0.02,1,0,1,0.287,0,1638,228,0
52,3,0,0,0.076,0,0,0,0.081,2,1504,103,0
52,3,1,2,0.375,5,2,1,0.81,18,7,20,1
24,3,0,2,0.016,0,0,1,0.076,2,3527,178,0
93,7,1,4,0.281,3,3,0,0.763,19,8,10,1
53,3,0,5,0.322,5,2,1,0.933,14,14,7,1
46,2,0,2,0.083,0,0,0,0.03,0,1017,229,0
34,1,0,0,0.1,1,0,0,0.07,3,1639,236,0
49,1,0,1,0.03,1,0,1,0.099,3,2761,143,0
82,6,1,5,0.297,2,0,1,0.814,20,23,21,1
103,3,0,5,0.585,1,3,1,0.676,16,45,20,1
56,3,0,0,0.014,0,0,0,0.149,2,1356,213,0
61,4,0,5,0.378,2,0,2,0.792,13,5,0,1
50,5,0,5,0.446,5,3,1,0.801,8,0,13,1
140,7,0,3,0.136,5,0,0,0.906,20,33,19,1
49,1,0,0,0.026,0,0,1,0.032,3,3624,113,0
23,2,0,0,0.056,0,0,0,0.275,2,3546,137,0
98,8,0,3,0.482,2,3,0,0.93,11,0,26,1
51,1,0,2,0.002,0,0,1,0.173,2,2915,93,0
52,2,0,0,0.032,1,0,0,0.137,3,1000,300,0
87,5,0,2,0.188,1,2,0,0.804,16,38,19,1
26,1,0,1,0.024,0,0,0,0.224,0,1964,287,0
56,1,0,2,0.089,1,0,1,0.09,3,1253,339,0
50,3,0,0,0.056,0,0,0,0.094,2,2130,322,0
63,4,0,3,0.215,2,3,0,0.8,12,-1,23,1
93,8,0,5,0.561,5,0,0,0.751,13,40,21,1
55,1,0,1,0.095,0,0,0,0.046,0,2143,210,0
120,5,0,2,0.102,3,1,1,0.898,11,7,4,1
34,2,0,1,0.007,1,0,0,0.292,0,484,337,0
34,1,0,1,0.096,1,0,1,0.228,1,1883,274,0
52,3,0,0,0.043,1,0,1,0.068,2,2688,289,0
36,2,0,2,0.024,0,0,1,0.064,2,2296,233,0
47,2,0,1,0.069,1,0,0,0.109,3,3216,331,0
58,3,0,1,0.082,1,0,1,0.29,2,2821,256,0
34,1,0,1,0.064,1,0,0,0.19,1,1618,206,0
55,4,1,5,0.311,4,3,2,0.941,19,27,4,1
136,6,0,6,0.42,2,2,1,0.97,17,18,22,1
23,2,0,0,0.054,1,0,1,0.265,0,877,166,0
37,3,0,1,0.021,1,0,1,0.157,2,3556,253,0
53,2,0,1,0.013,0,0,1,0.175,3,1321,114,0
38,3,0,1,0.072,1,0,1,0.146,1,2230,162,0
58,7,1,5,0.273,4,3,2,0.807,8,8,4,1
32,2,0,0,0.029,1,0,1,0.221,1,1256,300,0
38,2,0,1,0.097,1,0,0,0.0,2,3643,177,0
30,2,0,2,0.024,1,0,1,0.293,3,3406,134,0
60,4,1,2,0.42,4,3,1,0.68,15,32,29,1
81,6,0,2,0.307,2,3,1,0.759,8,28,20,1
122,7,1,3,0.204,3,2,1,0.994,7,34,9,1
85,5,0,3,0.561,3,1,1,0.787,18,6,21,1
112,6,0,2,0.516,4,2,0,0.893,11,30,24,1
105,7,0,4,0.238,2,1,2,0.65,10,23,11,1
91,8,1,4,0.368,5,0,2,0.62,18,19,7,1
25,3,0,0,0.002,1,0,1,0.008,2,2924,167,0
73,4,0,5,0.504,5,3,2,0.659,8,16,20,1
86,8,0,2,0.48,1,0,2,0.75,14,38,0,1
147,8,0,3,0.196,3,3,0,0.712,12,25,16,1
132,3,0,6,0.371,4,1,2,0.753,15,27,1,1
57,2,0,2,0.051,1,0,0,0.203,1,1154,134,0
40,1,0,2,0.071,0,0,1,0.116,1,2878,249,0
60,1,0,1,0.089,0,0,0,0.15,3,2352,297,0
30,1,0,0,0.009,0,0,1,0.172,0,2430,97,0
98,7,1,3,0.232,5,1,2,0.723,14,28,-1,1
39,2,0,1,0.048,0,0,0,0.16,0,2620,149,0
134,4,1,3,0.324,1,0,1,0.63,11,9,28,1
73,7,1,6,0.401,1,1,1,0.819,11,2,9,1
121,6,1,4,0.295,2,2,2,0.771,17,0,1,1
34,2,0,2,0.028,1,0,0,0.127,3,2807,302,0
48,1,0,0,0.091,1,0,1,0.032,1,3297,285,0
128,7,1,3,0.245,5,3,2,0.794,10,39,7,1
27,2,0,1,0.076,1,0,0,0.241,3,532,177,0
53,8,0,3,0.315,1,3,1,0.783,12,1,5,1
55,3,0,0,0.04,1,0,1,0.097,1,3590,230,0
33,2,0,1,0.01,0,0,0,0.092,3,3340,174,0
55,2,0,2,0.088,1,0,0,0.284,2,591,112,0
31,3,0,2,0.066,1,0,1,0.144,2,3017,255,0
26,1,0,1,0.08,0,0,0,0.092,2,843,239,0
59,2,0,2,0.093,1,0,0,0.206,3,352,117,0
40,1,0,1,0.083,1,0,1,0.178,0,1786,99,0
81,6,1,3,0.315,3,3,1,0.808,5,0,10,1
100,8,1,5,0.284,4,3,2,0.952,9,25,23,1
104,3,1,4,0.233,5,3,2,0.954,17,30,3,1
71,4,0,6,0.342,2,0,0,0.635,19,11,2,1
51,3,0,4,0.538,5,0,1,0.766,6,4,11,1
39,2,0,2,0.099,0,0,0,0.176,0,1004,255,0
63,8,0,6,0.374,4,1,2,0.76,8,35,27,1
93,4,0,4,0.443,4,1,2,0.761,6,10,12,1
132,3,0,2,0.224,3,2,0,0.722,20,35,10,1
37,1,0,1,0.038,1,0,1,0.292,2,901,168,0
64,5,0,5,0.151,3,0,2,0.652,9,35,8,1
40,3,0,0,0.039,1,0,1,0.114,2,1725,104,0
32,3,0,0,0.029,0,0,1,0.218,3,809,208,0
27,3,0,0,0.023,0,0,0,0.206,2,3502,333,0
44,3,0,0,0.093,1,0,1,0.288,2,313,151,0
51,5,0,4,0.186,4,2,0,0.924,18,28,11,1
57,1,0,0,0.027,1,0,0,0.151,1,579,118,0
128,5,0,5,0.293,4,1,1,0.778,5,9,1,1
33,2,0,1,0.096,1,0,1,0.295,3,1818,111,0
92,5,0,5,0.532,3,1,2,0.945,11,5,25,1
83,4,0,3,0.339,3,2,1,0.97,19,38,16,1
60,6,0,5,0.174,3,3,2,0.809,14,28,5,1
102,5,1,2,0.188,4,2,2,0.711,19,45,21,1
109,3,0,6,0.378,4,3,2,0.9,10,41,0,1
58,7,1,4,0.537,3,2,1,0.704,15,10,26,1
23,2,0,1,0.092,0,0,1,0.191,1,2117,329,0
69,3,0,5,0.581,3,1,0,0.826,17,9,30,1
25,3,0,1,0.057,1,0,1,0.133,0,712,143,0
124,6,0,3,0.463,5,0,1,0.907,14,43,28,1
51,1,0,0,0.029,0,0,1,0.254,2,966,174,0
106,7,0,6,0.384,3,3,2,0.68,7,0,11,1
56,1,0,0,0.057,0,0,1,0.162,2,2462,154,0
88,8,0,6,0.112,1,2,1,0.796,16,4,21,1
39,3,0,0,0.061,1,0,0,0.102,1,2328,352,0
54,1,0,2,0.067,0,0,0,0.121,0,2718,105,0
40,1,0,1,0.016,0,0,0,0.266,0,334,258,0
50,3,0,1,0.037,1,0,0,0.228,1,2485,365,0
83,6,0,2,0.167,2,0,0,0.684,13,42,9,1
123,7,0,5,0.321,4,1,0,0.995,19,29,14,1
31,3,0,1,0.08,1,0,0,0.148,1,2380,185,0
80,8,0,6,0.306,4,3,2,0.605,6,25,23,1
60,3,0,0,0.082,1,0,1,0.073,1,1872,303,0
32,3,0,1,0.017,1,0,1,0.189,0,2096,164,0
52,1,0,1,0.051,1,0,1,0.261,2,2815,269,0
33,3,0,0,0.076,1,0,1,0.298,0,537,152,0
24,3,0,1,0.092,1,0,1,0.109,1,1222,342,0
127,6,0,3,0.378,2,2,1,0.988,8,11,23,1
54,3,0,1,0.077,0,0,0,0.165,0,766,363,0
24,2,0,0,0.028,1,0,0,0.047,2,732,311,0
30,2,0,1,0.094,1,0,1,0.026,3,1949,361,0
50,3,0,0,0.02,0,0,0,0.264,1,2206,246,0
66,7,1,5,0.331,4,3,0,0.628,12,33,22,1
55,2,0,1,0.064,0,0,0,0.237,2,428,128,0
53,8,1,3,0.563,3,2,0,0.917,13,29,9,1
53,3,0,1,0.024,1,0,0,0.238,0,2781,206,0
120,4,0,2,0.197,1,0,0,0.826,16,20,13,1
34,1,0,1,0.084,1,0,1,0.241,3,2973,280,0
25,1,0,2,0.024,0,0,0,0.188,2,1894,212,0
55,1,0,1,0.019,0,0,1,0.02,2,2358,279,0
38,1,0,1,0.08,1,0,0,0.159,0,976,348,0
24,3,0,2,0.015,1,0,1,0.275,1,2564,264,0
31,1,0,0,0.045,0,0,0,0.105,3,1483,182,0
32,3,0,1,0.043,1,0,0,0.172,3,2790,201,0
65,4,0,6,0.409,2,3,1,0.746,8,30,18,1
104,3,1,4,0.195,1,3,0,0.76,6,22,22,1
77,8,0,4,0.37,4,1,0,0.707,16,18,8,1
30,3,0,0,0.073,1,0,0,0.064,3,3576,355,0
22,3,0,0,0.076,0,0,0,0.199,0,849,250,0
60,1,0,0,0.077,1,0,1,0.241,1,2751,310,0
66,8,1,6,0.13,4,3,1,0.769,13,35,14,1
22,2,0,2,0.003,1,0,0,0.179,3,3612,269,0
57,1,0,0,0.071,0,0,1,0.3,0,745,196,0
89,3,1,3,0.481,1,0,1,0.669,20,13,4,1
39,3,0,0,0.055,0,0,0,0.209,0,496,161,0
124,8,1,5,0.142,2,0,0,0.975,10,41,29,1
39,3,0,0,0.022,0,0,0,0.108,0,1486,170,0
55,2,0,1,0.0,0,0,1,0.044,1,2271,282,0
24,1,0,2,0.06,1,0,0,0.234,3,2530,277,0
96,3,0,2,0.598,1,3,2,0.683,10,21,24,1
61,7,0,3,0.302,3,3,2,0.692,12,21,28,1
84,7,0,3,0.556,4,1,2,0.776,11,45,13,1
31,2,0,0,0.022,1,0,0,0.218,2,2358,214,0
56,5,0,4,0.495,3,0,0,0.743,12,24,0,1
64,7,1,4,0.353,2,3,2,0.966,10,25,9,1
46,3,0,0,0.031,0,0,0,0.022,0,2034,289,0
51,3,0,2,0.03,1,0,0,0.171,2,2415,362,0
36,3,0,0,0.064,1,0,1,0.077,0,931,191,0
40,3,0,1,0.06,1,0,1,0.124,2,1778,172,0
108,6,1,4,0.111,2,2,1,0.861,8,21,24,1
69,8,0,5,0.468,1,3,2,0.767,9,6,16,1
